run_dir,arm,scene,seed,metrics_json_sha256,trajectory_csv_sha256,config_resolved_yaml_sha256,provenance_json_sha256
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_forest_seed91001/runs/full_proposed/full_proposed__l218_cylinder_forest__nominal_seen__seed91001,full_proposed,l218_cylinder_forest,91001,6c3d474f69f0aad07bb399d1eb3a6bb2fd0c6cbea60461ff9ce20659a5e86bd4,df24c9e239f469229aa48fb3bef7d92f3c3b567442d9c0cfe64324a973d38298,c3e502fe9bccfc083ff90978728271b60d72723065f8c667a51772ae31c41989,e530beeab2609e428d045acb0c5c507a618eb046489faf815479c3204201b62a
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_forest_seed91001/runs/simple_combination/simple_combination__l218_cylinder_forest__nominal_seen__seed91001,simple_combination,l218_cylinder_forest,91001,5e6006b654267d83faaa03f9ea7a5c059f5798256d5e085d9394736d7f993240,eda33e79d7a907aceeb180358f846c5256a5cf1538971fea0a50eb40d36924bc,24bbc65a7fa049e27e49fd6ada3f107e7cc7059bc268a7e456ff66f79022b6e2,c4414fb4f5a841ce845a47e09540270432d7ce32d08c2cc1fa1077459632553f
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_forest_seed91001/runs/icode_mppi/icode_mppi__l218_cylinder_forest__nominal_seen__seed91001,icode_mppi,l218_cylinder_forest,91001,90c061cb033aebe3e0b1b6f4616a1ba178f2a7a44bff7ce22d918bfcf2268b56,ebeb5f81e2d253a1bcb88693d466d119942a8924b1876e4dd39199544a7a4e33,37c60c3a1871e9d9f8d46c2589252021d99773cdecb5b041b41e22f5a8669cc7,d5d214a1b6f465eeb475f0ebb00e994536eca0b1ad8571cfccb8882850c48ebd
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001,full_proposed,l218_cylinder_spiral,91001,80a86255a6539b5494fc9f82fff3d592e4e5e38e032df1025cb96f5b24497415,f9dc26bd311bf78a77aaf0a90fcce978e04c3ae34039e2f8a10bc882456bb16b,878b4f2481b37b3cc1ab6b70c98941cd39a72c1dddc11ec816b9a514af770c8f,ec7771dd3e3fae2465b46f9d55d2f3e316a63f8b02ed9d4dc5735c4432f68d73
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_spiral_seed91001/runs/simple_combination/simple_combination__l218_cylinder_spiral__nominal_seen__seed91001,simple_combination,l218_cylinder_spiral,91001,1959aa2c852d5429373ef9e668b8e2c2719224549685db0903dd2c4390664c55,f66c854f8e4ad7d2188674c51ff38314a820616bf66d1dc3a4134b1033d68184,684054e90c2aedb6d4570d1b8f1b2334427e2da27f95bd6d27673949402806b1,49b47d71b78fddbb3b18fe754a93adf8054a4453512b5bc67a6b99e239221615
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_cylinder_spiral_seed91001/runs/icode_mppi/icode_mppi__l218_cylinder_spiral__nominal_seen__seed91001,icode_mppi,l218_cylinder_spiral,91001,1f9cb040800baa093e16258f67769d50b68234e1135abdccb2bc8026dd3ec431,e0a8e72e9bd165bc82b63a2efa6df4252d41480fec2fea97c032993a5d5cb453,fcbf240447015536c9377e4a5e9352d00b90aebc4c0c0b6196e99f20b136a65f,bf916616c056d7e3ea1f98c42e79117969f6001fb7b07e11f1c5c50e2b0cc6eb
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_giant_u_seed91001/runs/full_proposed/full_proposed__l218_giant_u__nominal_seen__seed91001,full_proposed,l218_giant_u,91001,c1b084c78181b4f31161394eeb7f2fb7c9eb57c7301e430f6d6913d8b34074bd,14dd0212c0e44cfe025c6573f2e278b379d9489f078932061f6dd8bfd362214d,ff3c648a8ebfa3b71cb414b26e85018e401d3b75c293b407d5fab19e1a05c5dd,058f784110578903c83d63b802b927c171d43f8e42e58bd8cdb244607cc1a0b1
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_giant_u_seed91001/runs/simple_combination/simple_combination__l218_giant_u__nominal_seen__seed91001,simple_combination,l218_giant_u,91001,47b09161283cdeabcc9c70160fc2b168695556646a00f0f695c8f66d8f1056cc,c5d0e5b04feec29cb7872314aa6ee952bb23e28e13fcda2bada0ebdcfbb135ea,a01b09fd1328b927097d82ef28eaf00c05e4a20543434254de8ee9f8b6f1cef9,ee6f1c4158e6614e1e5069cf38cbd73460e11be62d243501fee8bf2bdcfd6d56
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_giant_u_seed91001/runs/icode_mppi/icode_mppi__l218_giant_u__nominal_seen__seed91001,icode_mppi,l218_giant_u,91001,22558f44955a5eb85763e80a7dc2c52d7676420b40be00bab8ac7eb638d96dae,f71824e795e06cbf4ea330a7a6102d03192d0b8855fe47b6f09f169ed4eb17de,c208f72f0c8d2cb3ac80cdb6b89a0548ce18101770a1cfdccc1ed98fedb405b1,4c5420f064203f2ac385366bfda09690c5f18ae85da0911b1855bcb87f2c3c79
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001,full_proposed,l218_nested_u,91001,a6e5887c8b7740877db3c8a59c3bc0caa238dfd53e5109aff40261e19ce94851,26483c4fe668d51eaf5a3881dec5e1bdcf14dc47d3a2a99147853902d3b6dfc2,4a6c4c6657aac62fb59427b5e8eff1916d9da6ad7cab8aad4d07110539462f51,a1f796d321ca48c5cdb259de10c14c51eabbb32398d67bd77032d0c91364759d
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_nested_u_seed91001/runs/simple_combination/simple_combination__l218_nested_u__nominal_seen__seed91001,simple_combination,l218_nested_u,91001,12a4eddc2573cbff3e49328dd5ee55aa6c5e3ee9c87a9b5694ef3e5aa8e4ce02,ba359d689044db1cd41d57e8eba5f2d0aaa442ca11fafc9178c68221df49ebe2,e4858fe5a1befb902367d8b84fdb0c26cdaaf06b033e818cbeb09f925e73e21d,cc9a4930fae53afbcb90669fc45b91e634980acee21be3178f3ae7ed528f3d4a
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_nested_u_seed91001/runs/icode_mppi/icode_mppi__l218_nested_u__nominal_seen__seed91001,icode_mppi,l218_nested_u,91001,0f4af904a7f2cdc90697d3b550cd90cb7585fc8ea21b0bf0ff6756ac114f14e8,28c22fc3827bf8e1f6d5b7cdf1dc0100f45dc3480b52616c8a3caa3ca6c37a00,d5a950984e1abf544944f8e54fa6e37e07a6457c00cbaf63611f33ad0cfce43c,8572f3762016607c2541c7cefb35819de35040aaa654c64ad52bda46ddc7913c
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_opposed_u_seed91001/runs/full_proposed/full_proposed__l218_opposed_u__nominal_seen__seed91001,full_proposed,l218_opposed_u,91001,6e727934caf0cd9fd5037cd1496c895d25114ea808c34e66d78d110b7643b2c7,ea68880042b16e760b1693ad4159175a004ce393880e46061b37bbd6186c4d2f,ceba249c3014b09ec8c03aefd97c306c14ee4cd2c5553dd2446c3405889c8438,4a6e356350b0df002958c9c0df37350e3849514b9a2837e321c2b6debbc886f0
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_opposed_u_seed91001/runs/simple_combination/simple_combination__l218_opposed_u__nominal_seen__seed91001,simple_combination,l218_opposed_u,91001,211589b399c6cbb4f0cd5f2cb1c175d19364cff3c4198482358cd55feaa786e0,c9fe2c743e7b808d733a9abd734ee6ce567d8225f4391d99b049237596f7127b,adf2bd5795a8435c4dcbb9d09042338a075ea9d520d605f1000c56158a7fa791,f3ad50066b573d97f12d3fc5ad956e918387ed50433cc5143438cfb7a508242f
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_opposed_u_seed91001/runs/icode_mppi/icode_mppi__l218_opposed_u__nominal_seen__seed91001,icode_mppi,l218_opposed_u,91001,05026c2a58098806fbed01608309499221d63d2fcaf073ee924d3ee1f1b26694,2109fa484a442c5a9f0512d4d59d1c4a5ea52f8430961895ed1c354eff7d3b8f,58732716e052203dbb7752b816d899f04fd7ed298d042d2a1af9c1ae54cf617e,3bebed3bfb9300bb3f1908ea93e8479ab840dc5ac1e974dd65fdc506f2e43eab
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001,full_proposed,l218_serpentine,91001,96ce5b44b559cd94a7ade51e51cfae82b54bb35948b6f7b0a4b91adb5fee4599,65cda29921897b6a2e026791a1dbe82e67eb920ebf794951c28aa8395532369d,47d7beb3e6f5d3849c4f146a4fe0790f4fa9071be65bbb2dada77b5b1dbf5668,c24147b3c2582f76cf9a3227426b6bc423bc83563b10329e154f68601d451333
/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_l219_actor_s91001_serpentine_seed91001/runs/simple_combination/simple_combination__l218_serpentine__nominal_seen__seed91001,simple_combination,l218_serpentine,91001,826370f6f0fde39ee4bbd37ac64be2d4bb29af57595e973ddd6208d17d64b1c2,b10f02d4cd11015d2be8eeb3711d853cfbe878acd263870557f3e761422f33d8,c752ac45871e6304e6ef9edb317e6f91f50507d428a45f65d691426b7eda8749,6819bba279fea6e24160879d8797deb758b7afaddd363af700bf47faa7c5f74a
